"Player","Season","Position","Min","Off. g+","g+ Boost","Off. Net g+","Def. g+","g-","Def. Net g+","Net g+","League"
"Simon Colyn","2018","W","8","4.11","-0.01","4.09","0","-0.12","-0.12","3.98","MLS"
"Abdoul Zanne","2022","ST","6","1.07","-0.01","1.05","0","1.21","1.21","2.26","MLS"
"Jesús Ferreira","2018","W","7","2.33","-0.01","2.32","-0.05","-0.03","-0.07","2.25","MLS"
"Mal Swanson","2020","AM","36","1.91","-0.02","1.89","0.08","0","0.08","1.97","NWSL"
"Harrison Heath","2017","CM","3","-0.11","0","-0.11","1.57","0.13","1.71","1.6","MLS"
"Justin Rennicks","2020","W","24","1.36","-0.01","1.35","-0.04","0.04","0","1.35","MLS"
"Ben Reveno","2022","W","6","-0.04","-0.01","-0.06","1.45","-0.09","1.36","1.31","MLS"
"Mac Steeves","2018","AM","37","1.28","-0.02","1.26","-0.06","0.09","0.02","1.28","MLS"
"Brett Levis","2016","W","10","1.14","-0.01","1.13","0.04","0.07","0.12","1.25","MLS"
"Kai Koreniuk","2020","W","29","1.31","-0.01","1.3","-0.02","-0.04","-0.06","1.24","MLS"
"Jesús Ferreira","2017","W","22","1.33","-0.01","1.31","-0.01","-0.08","-0.09","1.22","MLS"
"Juninho","2023","DM","3","0.67","0.02","0.69","0.4","0.06","0.47","1.16","MLS"
"Collin Fernandez","2016","CM","15","1.19","0","1.2","0.01","-0.12","-0.1","1.09","MLS"
"Ally Haran","2020","DM","18","1.2","0","1.21","-0.1","-0.03","-0.13","1.08","NWSL"
"Caitlin Farrell","2019","W","29","0.93","-0.01","0.92","0.13","0.02","0.15","1.06","NWSL"
"Jessie Scarpa","2020","ST","71","0.99","-0.02","0.97","0.07","0","0.07","1.04","NWSL"
"Amy Rodriguez","2017","ST","59","1.03","0","1.03","0","0","0","1.03","NWSL"
"Jimmy Medranda","2020","FB","32","-0.1","0.01","-0.09","1.19","-0.07","1.12","1.02","MLS"
"Jack Lynn","2023","ST","61","0.63","-0.01","0.62","0.35","0.04","0.39","1.01","MLS"
"Taylor Porter","2021","DM","3","-0.01","0","0","1.01","-0.08","0.93","0.93","NWSL"
"Carlos Ruiz","2016","DM","21","0.8","0.02","0.81","0.06","0.06","0.12","0.93","MLS"
"Jordan Hamilton","2014","FB","5","0.32","0.01","0.33","0","0.59","0.59","0.91","MLS"
"Marius Obekop","2015","W","9","0.94","-0.01","0.93","-0.04","-0.01","-0.06","0.87","MLS"
"Kwadwo Opoku","2020","W","67","0.77","0.02","0.78","-0.01","0.07","0.06","0.84","MLS"
"Savannah Jordan","2017","W","18","0.97","-0.01","0.96","-0.12","0","-0.12","0.84","NWSL"
"Hassan Ndam","2017","CB","2","0.13","0.03","0.16","0.52","0.14","0.66","0.82","MLS"
"Nicolas Firmino","2023","DM","11","0.64","0.02","0.65","0.04","0.12","0.15","0.81","MLS"
"Alex Monis","2022","W","5","0.67","0","0.67","0","0.1","0.1","0.77","MLS"
"Ballou Tabla","2021","FB","29","0.59","0.01","0.6","0.09","0.07","0.16","0.76","MLS"
"Paul Arriola","2020","FB","29","0.92","0.01","0.93","-0.09","-0.09","-0.18","0.75","MLS"
"Cam Weaver","2014","ST","47","0.78","-0.01","0.76","-0.02","0","-0.02","0.74","MLS"
"Joseph Greenspan","2016","ST","1","0.85","-0.01","0.84","0","-0.11","-0.11","0.73","MLS"
"Hadji Barry","2017","W","25","0.69","-0.01","0.67","0.07","-0.03","0.04","0.72","MLS"
"Jimmy Medranda","2013","CM","2","0.67","0","0.67","0","0.01","0.01","0.69","MLS"
"Manolo Sánchez","2015","W","36","0.79","-0.01","0.78","-0.1","0","-0.1","0.68","MLS"
"Robert Earnshaw","2015","AM","75","0.66","-0.01","0.65","0","0.03","0.02","0.68","MLS"
"Zoey Goralski","2019","W","83","0.57","-0.01","0.56","-0.02","0.12","0.1","0.66","NWSL"
"Alejandro Granados Torres","2023","W","2","0.59","-0.02","0.58","-0.03","0.1","0.07","0.65","MLS"
"Marissa Everett","2019","ST","56","0.93","-0.02","0.92","-0.03","-0.24","-0.27","0.64","NWSL"
"Mariano Miño","2018","CM","28","1.1","0","1.11","-0.32","-0.15","-0.47","0.63","MLS"
"Michael Seaton","2014","ST","66","0.57","-0.01","0.56","0","0.05","0.05","0.61","MLS"
"Allie Hess","2021","ST","11","0.65","-0.02","0.63","0","-0.03","-0.02","0.6","NWSL"
"Javier Pérez","2019","CM","17","0.51","0","0.51","-0.01","0.1","0.09","0.6","MLS"
"Ally Watt","2021","CM","51","0.24","-0.01","0.24","0.36","-0.01","0.35","0.59","NWSL"
"Ryan Telfer","2019","W","10","0.49","-0.01","0.48","0","0.11","0.11","0.59","MLS"
"Marley Canales","2023","CM","16","-0.12","-0.01","-0.12","0.58","0.1","0.69","0.56","NWSL"
"Siad Haji","2022","CB","25","0.18","0.03","0.21","0.25","0.11","0.35","0.56","MLS"
"Christina Burkenroad","2017","ST","15","0.55","-0.02","0.54","0","0.02","0.02","0.55","NWSL"
"Zach Pfeffer","2014","AM","119","0.54","-0.03","0.51","0.04","-0.01","0.03","0.54","MLS"
"Cameron Cilley","2023","ST","8","-0.12","-0.01","-0.14","0.79","-0.12","0.67","0.53","MLS"
"Kevon Lambert","2023","CB","12","0.16","0.03","0.19","0.17","0.14","0.31","0.5","MLS"
"Cory Burke","2020","ST","136","0.5","-0.01","0.48","0.02","0","0.02","0.5","MLS"
"Oscar Sorto","2014","FB","18","0.06","0.01","0.06","0.35","0.09","0.44","0.5","MLS"
"Ethan Kutler","2018","FB","111","0.22","0.09","0.31","0.18","0","0.18","0.49","MLS"
"Kristie Mewis","2020","CM","391","0.24","0.1","0.33","0.1","0.05","0.15","0.48","NWSL"
"Rob Lovejoy","2016","ST","24","0.49","-0.01","0.47","0.01","-0.01","0","0.48","MLS"
"Tani Oluwaseyi","2023","W","22","0.49","-0.02","0.48","0.01","-0.02","-0.01","0.47","MLS"
"Alberth Elis","2020","W","223","0.46","0","0.46","-0.02","0.02","0.01","0.47","MLS"
"Cameron Dunbar","2020","AM","28","0.41","-0.02","0.39","0.11","-0.03","0.08","0.47","MLS"
"Chad Barrett","2017","ST","79","0.34","0","0.33","0.19","-0.05","0.14","0.47","MLS"
"Paul Gindiri","2023","ST","39","0.47","-0.01","0.46","0.01","0","0.01","0.46","MLS"
"Kayden Pierre","2023","FB","13","0.3","0.01","0.31","0","0.14","0.14","0.45","MLS"
"Denis Bouanga","2022","W","556","0.4","0.03","0.43","-0.01","0.02","0.01","0.45","MLS"
"Alexandru Matan","2022","W","58","0.42","-0.01","0.4","-0.04","0.08","0.03","0.44","MLS"
"Carlos Vela","2019","W","2985","0.36","0.05","0.41","0","0.03","0.03","0.44","MLS"
"Jeon Ga-Eul","2016","CM","91","0.39","-0.01","0.39","-0.01","0.06","0.05","0.44","NWSL"
"Amando Moreno","2013","FB","6","0.35","0.01","0.36","0","0.08","0.08","0.44","MLS"
"Veronica Latsko","2019","W","135","0.42","0","0.42","0.02","-0.01","0.01","0.43","NWSL"
"Kwadwo Poku","2016","CM","295","0.32","0.05","0.37","0.05","0.01","0.06","0.43","MLS"
"Chris Rindov","2023","CB","13","0.07","0.03","0.1","0.13","0.19","0.32","0.42","MLS"
"Leo Chú","2021","AM","188","0.42","-0.02","0.4","-0.01","0.02","0.02","0.42","MLS"
"Brian Gutierrez","2020","W","55","0.48","-0.01","0.47","0.05","-0.09","-0.05","0.42","MLS"
"Dairon Asprilla","2020","W","64","0.42","-0.01","0.4","0.05","-0.03","0.02","0.42","MLS"
"Jasser Khmiri","2019","CB","98","-0.09","0.03","-0.06","0.75","-0.27","0.48","0.42","MLS"
"Yekeson Subah","2023","W","24","0.4","-0.02","0.38","0.03","0","0.03","0.41","MLS"
